,gene_id,gene_name,wild_type_growth,knockout_growth,growth_ratio,growth_drop,is_essential,reactions
b1200,b1200,dhaK,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHAPT']
b1198,b1198,dhaM,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHAPT']
b2251,b2251,nudI,0.9823718127269792,0.9822652099291306,0.9998914842664789,0.00010660279784857618,False,"['NTPP7', 'NTPP3', 'DUTPDP']"
b0596,b0596,entA,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHBD']
b0594,b0594,entE,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['DHBS']
b2541,b2541,hcaB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DHCIND', 'DHPPD']"
b2306,b2306,hisP,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['LYSabcpp', 'ARGabcpp', 'ORNabcpp', 'HISabcpp']"
b2308,b2308,hisQ,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['LYSabcpp', 'ARGabcpp', 'ORNabcpp', 'HISabcpp']"
b0173,b0173,dxr,0.9823718127269792,4.689759726079119e-16,4.773915197200897e-16,0.9823718127269787,True,['DXPRIi']
b0861,b0861,artM,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGabcpp']
b0348,b0348,mhpB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['HPPPNDO', 'DHCINDO']"
b0420,b0420,dxs,0.9823718127269792,-9.595324677410646e-16,-9.767508140094997e-16,0.9823718127269802,True,['DXPS']
b0031,b0031,dapB,0.9823718127269792,2.9724545345117804e-16,3.025793794164863e-16,0.9823718127269788,True,['DHDPRy']
b2307,b2307,hisM,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['LYSabcpp', 'ARGabcpp', 'ORNabcpp', 'HISabcpp']"
b2310,b2310,argT,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['LYSabcpp', 'ARGabcpp', 'ORNabcpp']"
b3564,b3564,xylB,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['DXYLK', 'XYLK']"
b0864,b0864,artP,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGabcpp']
b0860,b0860,artJ,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,['ARGabcpp']
